#Wavelength Flux FluxErr FluxGeo
 .27616 12.2489  0.3339  8.9927
 .27622 11.9368  0.3186 10.7421
 .27629 12.0142  0.3266 10.7801
 .27635 12.5634  0.3259 11.1975
 .27642 12.4229  0.3171 11.0970
 .27648 11.8648  0.3089 10.7094
 .27655 11.9007  0.3047 10.6902
 .27661 11.9286  0.3036 10.6816
 .27668 11.9703  0.3048 10.7700
 .27674 12.3445  0.3069 11.0721
 .27680 12.0750  0.3060 10.8947
 .27687 10.4084  0.2270 10.9227
 .27693 11.4892  0.2677 10.5103
 .27700 11.3061  0.2540 11.1349
 .27706 11.3824  0.2509 11.2773
 .27713 11.4858  0.2483 11.2909
 .27719 11.7695  0.2479 10.5864
 .27726 11.2347  0.2348 10.8724
 .27732 10.7352  0.2308 10.5438
 .27738 10.9617  0.2299 10.7778
 .27745 11.0181  0.2305 10.9436
 .27751 11.1183  0.2311 10.9745
 .27758 11.4072  0.2344 11.0602
 .27764 11.2558  0.2190 11.0826
 .27771 11.6698  0.2278 11.5359
 .27777 11.9653  0.2306 11.7963
 .27784 11.8064  0.2295 11.6988
 .27790 11.4207  0.2277 11.4290
 .27796 11.7899  0.2299 11.7255
 .27803 12.3974  0.2330 12.2137
 .27809 12.2385  0.2322 12.0768
 .27816 12.2719  0.2317 12.0654
 .27822 12.2957  0.2331 12.1377
 .27829 12.3591  0.2346 12.2723
 .27835 12.4958  0.2355 12.3865
 .27842 12.9826  0.2376 12.7690
 .27848 12.9874  0.2373 12.7775
 .27855 12.6020  0.1575 12.7878
 .27861 12.8005  0.1627 12.9887
 .27868 13.2097  0.1650 13.5051
 .27874 13.1556  0.1470 10.1997
 .27881 12.9671  0.1437 13.2440
 .27887 13.1487  0.1437 13.2733
 .27894 12.9813  0.1429 13.5070
 .27900 12.9980  0.1424 13.6442
 .27907 13.3294  0.1439 13.9125
 .27913 13.6198  0.1455 14.3585
 .27920 13.4862  0.1452 14.1339
 .27926 13.6044  0.1455 14.7482
 .27933 13.9154  0.1469 14.7276
 .27939 13.8597  0.1463 14.7217
 .27946 13.9444  0.1460 14.9388
 .27952 14.1843  0.1464 15.3760
 .27959 14.2445  0.1460 15.6180
 .27965 14.0186  0.1445 15.4940
 .27972 14.0074  0.1437 15.3415
 .27978 14.0384  0.1433 15.5136
 .27985 13.8849  0.1421 15.5586
 .27991 13.9421  0.1430 15.6723
 .27998 13.9205  0.1431 15.5027
 .28004 13.7897  0.1415 14.9851
 .28011 13.8876  0.1421 15.1349
 .28017 13.8046  0.1417 15.5004
 .28024 13.7734  0.1413 15.3292
 .28030 13.7742  0.1416 15.1502
 .28037 13.9376  0.1423 15.3083
 .28043 13.8368  0.1418 15.1325
 .28050 13.4162  0.1399 14.8137
 .28056 13.3874  0.1394 14.6186
 .28063 13.3249  0.1393 14.4792
 .28069 13.2590  0.1390 14.2726
 .28076 13.1685  0.1382 14.0962
 .28082 13.0310  0.1369 13.9515
 .28089 12.8579  0.1357 13.5790
 .28096 12.7268  0.1348 13.1752
 .28102 12.8112  0.1368 12.9328
 .28109 12.8548  0.1397 12.9738
 .28115 12.6251  0.1370 12.7868
 .28122 12.4478  0.1327 12.5266
 .28128 12.4437  0.1334 12.5562
 .28135 12.5636  0.1343 12.7968
 .28141 12.4985  0.1337 12.4254
 .28148 12.2928  0.1322 12.1432
 .28154 12.0999  0.1310 11.9770
 .28161 11.9456  0.1311 11.6458
 .28168 12.1000  0.1312 11.6360
 .28174 12.0628  0.1305 11.5593
 .28181 12.0748  0.1299 11.7493
 .28187 12.0799  0.1294 11.7260
 .28194 11.9020  0.1285 11.3663
 .28200 11.9964  0.1291 11.4720
 .28207 11.9360  0.1288 11.3798
 .28213 11.7197  0.1289 11.1367
 .28220 11.7780  0.1298 11.3484
 .28226 11.8133  0.1291 11.2784
 .28233 11.8037  0.1284 11.0242
 .28240 11.7417  0.1281 10.9811
 .28246 11.7559  0.1276 11.0365
 .28253 11.7729  0.1270 11.0815
 .28259 11.6843  0.1262 11.2229
 .28266 11.6314  0.1258 11.1695
 .28272 11.7906  0.1265 11.1620
 .28279 11.9016  0.1266 11.3494
 .28286 11.7557  0.1258 11.3874
 .28292 11.6950  0.1266 11.2995
 .28299 11.6859  0.1269 11.1775
 .28305 11.5277  0.1247 10.9158
 .28312 11.3893  0.1234 10.6528
 .28319 11.5434  0.1234 10.9855
 .28325 11.6375  0.1235 11.1488
 .28332 11.5111  0.1226 10.9288
 .28338 11.4508  0.1223 10.8026
 .28345 11.3917  0.1227 10.6046
 .28351 11.6119  0.1242 11.0144
 .28358 11.4818  0.1240 10.8676
 .28365 11.4994  0.1230 10.4568
 .28371 11.3648  0.1211 11.1373
 .28378 11.4004  0.1207 11.2656
 .28384 11.3948  0.1206 11.3045
 .28391 11.1856  0.1198 10.8146
 .28398 11.3634  0.1203 11.0852
 .28404 11.6298  0.1037 10.8384
 .28411 11.2274  0.1130 10.8816
 .28418 11.2871  0.1131 11.0635
 .28424 11.2140  0.1120 10.7244
 .28431 11.2681  0.1118 10.7922
 .28437 11.2821  0.1116 10.9700
 .28444 11.1949  0.1111 10.8841
 .28451 11.1929  0.1116 10.8444
 .28457 11.2507  0.1118 10.9711
 .28464 11.2014  0.1124 10.7526
 .28471 11.1416  0.1111 10.6861
 .28477 11.0559  0.1105 10.7043
 .28484 11.1030  0.1104 10.7482
 .28490 10.9997  0.1100 10.6914
 .28497 10.9522  0.1096 10.6212
 .28504 10.9181  0.1095 10.5074
 .28510 10.9007  0.1111 10.4274
 .28517 11.0183  0.1116 10.6103
 .28524 10.8867  0.1083 10.6055
 .28530 10.8247  0.1079 10.5583
 .28537 10.9427  0.1088 10.5977
 .28543 10.8860  0.1081 10.6218
 .28550 10.5733  0.1064 10.3871
 .28557 10.6405  0.1058 10.3399
 .28563 10.5567  0.1053 10.2993
 .28570 10.7697  0.1062 10.4824
 .28577 10.6802  0.1056 10.2473
 .28583 10.5626  0.1048 10.2247
 .28590 10.5589  0.1045 10.2306
 .28597 10.4512  0.1039 10.0796
 .28603 10.3831  0.1035 10.0007
 .28610 10.4702  0.1035 10.1246
 .28616 10.5103  0.1034 10.2323
 .28623 10.3459  0.1025 10.0700
 .28630 10.2407  0.1021  9.9133
 .28636 10.4515  0.1028 10.1027
 .28643 10.5165  0.1030 10.2239
 .28650 10.4219  0.1022 10.1407
 .28656 10.2598  0.1009  9.9905
 .28663 10.1669  0.1007  9.8206
 .28670 10.2527  0.1007 10.0379
 .28676 10.0139  0.0994  9.8585
 .28683  9.7987  0.0983  6.7038
 .28690  9.8762  0.0986 10.0310
 .28696 10.1249  0.0992 10.2172
 .28703 10.2252  0.0998 10.2050
 .28710 10.1896  0.0996 10.1424
 .28717 10.2915  0.1001 10.2341
 .28723 10.2708  0.0999 10.2885
 .28730 10.0869  0.0993 10.1204
 .28737 10.1377  0.0995 10.0375
 .28743 10.3394  0.1001 10.2750
 .28750 10.2464  0.0996 10.1885
 .28757 10.1659  0.0991  9.9915
 .28763 10.0836  0.0986  9.9379
 .28770 10.0997  0.0984 10.1798
 .28777 10.0415  0.0980  9.9800
 .28783  9.9322  0.0973  9.8623
 .28790  9.9472  0.0976  9.8829
 .28797  9.9460  0.0974  9.7747
 .28804  9.9061  0.0971  9.7351
 .28810  9.9220  0.0967  9.7694
 .28817  9.8950  0.0967  9.7595
 .28824  9.8600  0.0963  9.6743
 .28830  9.8215  0.0957  9.7141
 .28837  9.8504  0.0956  9.7762
 .28844  9.8306  0.0956  9.6940
 .28851  9.7918  0.0960  9.6253
