LineName	Wavelength	IP	
LyA		1215.6701	13.6	
NV		1240.14		97.89	
OI		1304.35		-99.99	
SiIV		1396.76		-99.99 	
CIV		1548.202	64.49	
.		1550.774	64.49	
HeII		1640.42		54.42	
CIII]		1908.73		47.45	
CII]		2326.44		-99.99	
MgII		2797.998	15.04	
.		2802.704	15.04	
Halpha		6563.		13.6    
OI 		8446.		-99.9
[SIII] 		9069.		-99.9
FeII		9202.		-99.9
Pa_epsilon	9545.		-99.9
Pa_delta	10049.		-99.9
HeI		10830.		-99.9
Pa_gamma	10941.		-99.9
OI		11287.		-99.9
Pa_beta		12822.		-99.9
Pa_alpha	18756.		-99.9
HeI		20520.		-99.9
Br_gamma	21654.		-99.9
Br_beta		26260.		-99.9
