Type,Program,Template,Hours Charged,
GTO,1176,NIRCam Imaging,102.47,
GTO,1176,NIRSpec IFU Spectroscopy,7.5,
GTO,1177,MIRI Imaging,24.35,
GTO,1177,MIRI Low Resolution Spectroscopy,49.44,
GTO,1178,MIRI Medium Resolution Spectroscopy,14.36,
GTO,1179,NIRCam Imaging,13.78,
GTO,1180,NIRCam Imaging,286.63,
GTO,1180,NIRSpec MultiObject Spectroscopy,65.36,
GTO,1181,NIRCam Imaging,9.99,
GTO,1181,NIRSpec MultiObject Spectroscopy,138.13,
GTO,1182,NIRCam Imaging,19.42,
GTO,1183,NIRCam Coronagraphic Imaging,28.33,
GTO,1183,NIRSpec Fixed Slit Spectroscopy,3,
GTO,1184,NIRCam Coronagraphic Imaging,33.71,
GTO,1185,NIRCam Grism Time Series,141.22,
GTO,1186,NIRSpec IFU Spectroscopy,16.52,
GTO,1187,NIRCam Wide Field Slitless Spectroscopy,34.71,
GTO,1188,MIRI Imaging,1.08,
GTO,1188,MIRI Low Resolution Spectroscopy,2.51,
GTO,1188,NIRSpec IFU Spectroscopy,19.33,
GTO,1189,MIRI Imaging,0.47,
GTO,1189,MIRI Low Resolution Spectroscopy,1.59,
GTO,1189,MIRI Medium Resolution Spectroscopy,3.19,
GTO,1189,NIRCam Coronagraphic Imaging,6.8,
GTO,1189,NIRCam Imaging,2.83,
GTO,1189,NIRISS Aperture Masking Interferometry,1.33,
GTO,1189,NIRSpec Fixed Slit Spectroscopy,2.09,
GTO,1189,NIRSpec IFU Spectroscopy,13.67,
GTO,1190,NIRCam Imaging,12.89,
GTO,1191,MIRI Imaging,0.91,
GTO,1191,MIRI Low Resolution Spectroscopy,0.72,
GTO,1191,MIRI Medium Resolution Spectroscopy,1.81,
GTO,1191,NIRSpec IFU Spectroscopy,22.56,
GTO,1192,MIRI Imaging,3.29,
GTO,1192,MIRI Medium Resolution Spectroscopy,10.12,
GTO,1192,NIRCam Imaging,7.29,
GTO,1192,NIRSpec IFU Spectroscopy,21.56,
GTO,1193,MIRI Coronagraphic Imaging,15.87,
